year,place,team_name,wins,losses,ties,win_pct,points_for,points_against,team_logo,standings_type,scraped_at
2023,7,Killer Cam,7,8,0,0.467,1726.9,1715.64,https://fantasy.nfl.com/image/1df50805c744bb5b016ad6c8e552454d.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608687
2023,8,DirtyBirds,6,9,0,0.4,1650.04,1770.6,https://fantasy.nfl.com/image/54e145c9a634a201a63c9cd3d146fbe9.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608816
2023,9,The Ratpack,6,9,0,0.4,1604.82,1741.58,https://fantasy.nfl.com/image/cc4338d8ac0e59a673659c4fe064d51c.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.608946
2023,10,Wolfpack,5,10,0,0.333,1635.34,1747.16,https://fantasy.nfl.com/image/65b68b08272902af43219004f33e84c1.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.609095
2023,11,Scrubs,5,10,0,0.333,1499.3,1725.76,https://fantasy.nfl.com/image/1d3519947353eac03b94fe545235dc4e.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.609262
2023,12,Maggi's Mighty Ducks,3,12,0,0.2,1637.74,1900.8,https://fantasy.nfl.com/image/6e3bfac6843ea7b02ba1fff4012c6dd0.jpg?&x=40&y=40,regular,2025-12-13T18:10:28.609393
2024,1,Maggi's Mighty Ducks,11,4,0,0.733,1953.02,1606.26,https://fantasy.nfl.com/image/3848c1e265bc05ffc480d3f74dd5c905.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.164955
2024,2,The Ratpack,11,4,0,0.733,1749.76,1643.84,https://fantasy.nfl.com/image/619cdee4567a5d247f770e90fe607141.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.165139
2024,3,cheeseheads,10,5,0,0.667,1899.38,1711.14,https://fantasy.nfl.com/image/08c5227f8396ae564193f8dcbc4c0731.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.165293
2024,4,DirtyBirds,10,5,0,0.667,1797.4,1640.82,https://fantasy.nfl.com/image/54e145c9a634a201a63c9cd3d146fbe9.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.165427
2024,5,The Generous,8,7,0,0.533,1751.94,1602.98,https://fantasy.nfl.com/image/37fb6bf94dc8e1a757bdd1e19c906a80.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.165559
2024,6,The Brotherhood,7,8,0,0.467,1845.7,1685.04,https://fantasy.nfl.com/image/2a37e9caaa77c7b12e2c6c85e6a38e2a.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.165725
2024,7,Woody,7,8,0,0.467,1727.16,1841.82,https://fantasy.nfl.com/image/2c3e78c8478c0a0a3c538cff10a96f03.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.165873
2024,8,Pels,6,9,0,0.4,1718.74,1760.22,https://fantasy.nfl.com/image/d1eab0977fdc7c0a43ffbe8d6d6af36d.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.166024
2024,9,Scrubs,6,9,0,0.4,1537.3,1807.38,https://fantasy.nfl.com/image/0e31b643751318781b68efa81d646b09.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.166177
2024,10,Mebs Militia,5,10,0,0.333,1647.84,1821.34,https://fantasy.nfl.com/image/3baa273cd5e673bd6b37d3ee69f0bef5.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.166329
2024,11,Freshie Vice,5,10,0,0.333,1565.92,1835.62,https://fantasy.nfl.com/image/bb9a678b5b3f6353932d7d62fe79389a.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.166475
2024,12,Killer Cam,4,11,0,0.267,1627.02,1864.72,https://fantasy.nfl.com/image/1fca812cd313078ede2b727e8519abeb.jpg?&x=40&y=40,regular,2025-12-13T18:10:29.166623
