year,week,week_type,team1_name,team1_score,team2_name,team2_score,winner,scraped_at
2021,9,regular,Woody,129.88,The Brotherhood,109.86,Woody,2025-12-13T17:02:55.216410
2021,9,regular,The Generous,92.94,Mebs Militia,133.56,Mebs Militia,2025-12-13T17:02:55.216921
2021,9,regular,cheeseheads,125.08,Scrubs,119.84,cheeseheads,2025-12-13T17:02:55.217421
2021,10,regular,Neutered Wolfpack,123.24,DirtyBirds,89.98,Neutered Wolfpack,2025-12-13T17:02:55.634091
2021,10,regular,Scrubs,78.1,The Generous,120.8,The Generous,2025-12-13T17:02:55.635153
2021,10,regular,The Brotherhood,129.54,Killer Cam,80.0,The Brotherhood,2025-12-13T17:02:55.635590
2021,10,regular,Mebs Militia,105.62,cheeseheads,138.64,cheeseheads,2025-12-13T17:02:55.636021
2021,10,regular,Rats,139.82,Palm Beach Pelicans,133.12,Rats,2025-12-13T17:02:55.636477
2021,10,regular,Woody,140.6,Maggi's Mighty Ducks,162.54,Maggi's Mighty Ducks,2025-12-13T17:02:55.636901
2021,11,regular,Neutered Wolfpack,149.9,Killer Cam,144.14,Neutered Wolfpack,2025-12-13T17:02:56.079916
2021,11,regular,cheeseheads,106.72,The Generous,183.68,The Generous,2025-12-13T17:02:56.080799
2021,11,regular,Scrubs,102.28,Rats,127.08,Rats,2025-12-13T17:02:56.081219
2021,11,regular,Maggi's Mighty Ducks,118.9,The Brotherhood,103.46,Maggi's Mighty Ducks,2025-12-13T17:02:56.081637
2021,11,regular,Woody,109.84,DirtyBirds,82.58,Woody,2025-12-13T17:02:56.082053
2021,11,regular,Palm Beach Pelicans,152.92,Mebs Militia,150.12,Palm Beach Pelicans,2025-12-13T17:02:56.082473
2021,12,regular,Woody,138.9,The Generous,103.54,Woody,2025-12-13T17:02:56.516186
2021,12,regular,cheeseheads,102.9,DirtyBirds,103.54,DirtyBirds,2025-12-13T17:02:56.517265
2021,12,regular,Maggi's Mighty Ducks,149.68,Scrubs,106.92,Maggi's Mighty Ducks,2025-12-13T17:02:56.517777
2021,12,regular,The Brotherhood,154.9,Rats,119.06,The Brotherhood,2025-12-13T17:02:56.518292
2021,12,regular,Killer Cam,118.72,Mebs Militia,147.9,Mebs Militia,2025-12-13T17:02:56.518731
2021,12,regular,Palm Beach Pelicans,144.18,Neutered Wolfpack,92.88,Palm Beach Pelicans,2025-12-13T17:02:56.519168
2021,13,regular,Maggi's Mighty Ducks,130.86,cheeseheads,103.2,Maggi's Mighty Ducks,2025-12-13T17:02:56.963563
2021,13,regular,Rats,131.02,Palm Beach Pelicans,153.2,Palm Beach Pelicans,2025-12-13T17:02:56.964450
2021,13,regular,Mebs Militia,145.42,The Brotherhood,90.5,Mebs Militia,2025-12-13T17:02:56.964878
2021,13,regular,Scrubs,118.48,Neutered Wolfpack,127.56,Neutered Wolfpack,2025-12-13T17:02:56.965300
2021,13,regular,Woody,132.72,Killer Cam,152.3,Killer Cam,2025-12-13T17:02:56.965722
2021,13,regular,DirtyBirds,133.84,The Generous,160.92,The Generous,2025-12-13T17:02:56.966142
2021,14,regular,Scrubs,100.7,Palm Beach Pelicans,125.98,Palm Beach Pelicans,2025-12-13T17:02:57.409347
2021,14,regular,Killer Cam,81.62,cheeseheads,136.72,cheeseheads,2025-12-13T17:02:57.410253
2021,14,regular,Woody,125.54,Neutered Wolfpack,167.94,Neutered Wolfpack,2025-12-13T17:02:57.410695
2021,14,regular,Maggi's Mighty Ducks,142.32,The Generous,153.92,The Generous,2025-12-13T17:02:57.411117
2021,14,regular,Mebs Militia,65.98,Rats,149.44,Rats,2025-12-13T17:02:57.411542
2021,14,regular,The Brotherhood,226.32,DirtyBirds,148.4,The Brotherhood,2025-12-13T17:02:57.411966
2021,15,regular,Neutered Wolfpack,125.62,Maggi's Mighty Ducks,147.2,Maggi's Mighty Ducks,2025-12-13T17:02:57.824181
2021,15,regular,cheeseheads,74.68,Woody,120.48,Woody,2025-12-13T17:02:57.825328
2021,15,regular,Killer Cam,96.28,Palm Beach Pelicans,163.56,Palm Beach Pelicans,2025-12-13T17:02:57.825872
