year,place,team_name,wins,losses,ties,win_pct,points_for,points_against,team_logo,standings_type,scraped_at
2025,1,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.103949
2025,2,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104004
2025,3,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104041
2025,4,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104074
2025,5,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104105
2025,6,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104135
2025,7,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104164
2025,8,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104193
2025,9,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104222
2025,10,Freshie Vice,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104252
2025,11,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104281
2025,12,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:30.104311
